playerID,sport,position,start_year,start_age,years_played
Brandon Lloyd,NFL,2,2003,22,10
Greg Lloyd,NFL,3,2003,14,10
Jake Locker,NFL,1,2013,25,1
Kevin Lockett,NFL,2,2013,39,1
Ricardo Lockette,NFL,2,2013,24,1
Michael Lockley,NFL,3,2013,25,1
Curtis Lofton,NFL,3,2008,22,6
Shawn Loiseau,NFL,3,2012,23,1
Antonio London,NFL,3,1993,22,6
Michael Lowery,NFL,3,1985,11,12
Chad Lucas,NFL,2,2000,19,2
Ray Lucas,NFL,1,2000,28,2
Eric Lynch,NFL,4,1999,29,4
James Lynch,NFL,4,1999,17,4
Matt Lytle,NFL,1,2000,25,2
Reno Mahe,NFL,4,2011,31,1
Kaluka Maiava,NFL,3,2009,22,5
Marcus Mailei,NFL,4,2009,23,5
Wesly Mallard,NFL,3,1992,14,8
Ryan Manalac,NFL,3,2009,24,1
Maurice Mann,NFL,2,2009,27,1
Brian Manning,NFL,2,2009,34,1
Eli Manning,NFL,1,2009,28,1
Peyton Manning,NFL,1,2009,33,1
Roy Manning,NFL,3,2009,28,1
Mario Manningham,NFL,2,2009,23,1
EJ Manuel,NFL,1,2009,19,1
Owen Marecic,NFL,4,2010,22,4
Marc Mariani,NFL,2,2010,23,4
Laurence Maroney,NFL,4,2010,25,4
Curtis Marsh,NFL,2,2010,40,4
Brandon Marshall,NFL,2,2010,26,4
Lemar Marshall,NFL,3,2010,34,4
Marvin Marshall,NFL,2,2010,38,4
Rasheed Marshall,NFL,2,2010,29,4
Torrance Marshall,NFL,3,2010,33,4
Whit Marshall,NFL,3,2010,37,4
Charly Martin,NFL,2,2010,26,4
Curtis Martin,NFL,4,2010,37,4
Doug Martin,NFL,4,2010,21,4
Eric Martin,NFL,3,2010,19,4
Ingle Martin,NFL,1,2010,28,4
Jamie Martin,NFL,1,2010,40,4
Josh Martin,NFL,3,2010,19,4
Keshawn Martin,NFL,2,2010,20,4
Ruvell Martin,NFL,2,2010,28,4
Tee Martin,NFL,1,2010,32,4
Glenn Martinez,NFL,2,2010,29,4
Mike Maslowski,NFL,3,2012,38,2
Derrick Mason,NFL,2,2012,38,2
Eddie Mason,NFL,3,2012,40,2
Marcus Mason,NFL,4,2012,28,2
Mohamed Massaquoi,NFL,2,2012,26,2
Chris Massey,NFL,4,2012,33,2
Le'Shai Maston,NFL,4,2012,42,2
Rey Maualuga,NFL,3,2009,22,5
Matt Mauck,NFL,1,2009,30,5
Josh Mauga,NFL,3,2009,22,5
Reagan Mauia,NFL,4,2009,25,5
Keenan McCardell,NFL,2,1987,17,2
Willis McGahee,NFL,4,2004,23,10
Tim McGarigle,NFL,3,2004,21,10
Wane McGarity,NFL,2,2004,28,10
Brandon McGee,NFL,4,2004,14,10
Eddie McGee,NFL,2,2004,16,10
Stephen McGee,NFL,1,2004,19,10
Phil McGeoghan,NFL,2,2004,25,10
Karmeeleyah McGill,NFL,3,2004,33,10
Matt McGloin,NFL,1,2004,15,10
