player_ID,sport,position,retire_year,retire_age,years_played
Kenny Carr,NBA,3,1987,1,10
M.L. Carr,NBA,0,1985,27,10
Darel Carrier,NBA,2,1973,-7,6
Bob Carrington,NBA,0,1980,11,3
DeMarre Carroll,NBA,3,2018,43,9
Joe Barry Carroll,NBA,0,1991,33,11
Matt Carroll,NBA,2,2013,68,10
Jimmy Carruth,NBA,0,1997,53,1
Anthony Carter,NBA,2,2012,51,13
Butch Carter,NBA,2,1986,62,6
Fred Carter,NBA,0,1977,1,8
George Carter,NBA,0,1976,19,9
Howard Carter,NBA,2,1985,29,2
Jake Carter,NBA,0,1950,-27,1
