player,position,c,d,lw,rw,start_year,start_age,years_played,retire_year,retire_age
Riley Cote\coteri01,LW,0,0,1,0,2007,24,4,2010,27
Riley Nash\nashri02,C,1,0,0,0,2012,22,6,2017,27
Riley Sheahan\sheahri01,C,1,0,0,0,2012,20,6,2017,25
Rinat Valiev\valieri01,D,0,1,0,0,2016,20,1,2016,20
Rob Blake*\blakero01,D,0,1,0,0,2006,36,5,2010,40
Rob Collins\colliro01,C,1,0,0,0,2006,27,1,2006,27
Rob Davison\davisro01,D,0,1,0,0,2006,25,5,2010,29
Rob DiMaio\dimairo01,RW,0,0,0,1,2006,37,1,2006,37
Rob Globke\globkro01,C,1,0,0,0,2006,23,3,2009,25
Rob Klinkhammer\klinkro01,C,1,0,0,0,2011,24,6,2016,29
Rob Niedermayer\niedero01,C,1,0,0,0,2006,31,6,2011,36
Rob O'Gara\ogararo01,D,0,1,0,0,2017,23,1,2017,23
Rob Schremp\schrero01,C,1,0,0,0,2007,20,5,2011,24
Rob Scuderi\scudero01,D,0,1,0,0,2006,27,11,2016,37
Robbie Earl\earlro01,LW,0,0,1,0,2008,22,4,2011,25
Robbie Russo\russoro01,D,0,1,0,0,2017,23,1,2017,23
Robby Fabbri\fabbrro01,C,1,0,0,0,2016,20,2,2017,21
Robert Bortuzzo\borturo01,D,0,1,0,0,2012,22,6,2017,27
Robert Hagg\haggro01,D,0,1,0,0,2017,21,1,2017,21
Robert Lang\langro01,C,1,0,0,0,2006,35,5,2010,39
Robert Nilsson\nilssro01,C,1,0,0,0,2006,21,5,2010,25
Robyn Regehr\regehro01,D,0,1,0,0,2006,25,10,2015,34
Rocco Grimaldi\grimaro01,C,1,0,0,0,2015,21,3,2017,23
Rod Brind'Amour\brindro01,C,1,0,0,0,2006,35,5,2010,39
Rod Pelley\pellero02,C,1,0,0,0,2007,22,6,2012,27
Roman Cervenka\cervero01,C,1,0,0,0,2013,27,1,2013,27
Roman Hamrlik\hamrlro01,D,0,1,0,0,2006,31,8,2013,38
Roman Horak\horakro01,C,1,0,0,0,2012,20,3,2014,22
Roman Josi\josiro01,D,0,1,0,0,2012,21,6,2017,26
