player_ID,sport,position,start_year,start_age,years_played
Tellis Frank,NBA,0,1988,24,7
Ronald Franz,NBA,3,1968,24,6
Walt Frazier,NBA,2,1968,18,13
World B. Free,NBA,2,1976,31,13
Gary Freeman,NBA,3,1971,22,1
Rod Freeman,NBA,3,1974,54,1
Frido Frey,NBA,3,1947,26,1
Joe Fulks,NBA,0,1947,25,8
Hiram Fuller,NBA,3,2004,22,1
Tony Fuller,NBA,2,1981,35,1
Markelle Fultz,NBA,2,2018,53,1
Deng Gai,NBA,3,2006,37,1
Elmer Gainer,NBA,0,1948,21,3
David Gaines,NBA,2,1968,31,1
Reece Gaines,NBA,2,2004,39,3
Chad Gallagher,NBA,1,1994,21,1
Danilo Gallinari,NBA,3,2009,28,10
