,player_ID,sport,position,retire_year,retire_age,years_played
551,Ticky Burden,NBA,2,1978,20,3
552,Pat Burke,NBA,0,2007,16,5
553,Trey Burke,NBA,2,2017,37,4
554,Roger Burkman,NBA,2,1982,3,1
555,Alec Burks,NBA,2,2018,66,7
556,Antonio Burks,NBA,2,2006,80,2
557,Kevin Burleson,NBA,2,2006,48,1
558,Tom Burleson,NBA,1,1981,10,7
559,Jack Burmaster,NBA,2,1950,5,1
560,David Burns,NBA,2,1982,11,1
561,Evers Burns,NBA,3,1994,70,1
563,Scott Burrell,NBA,0,2001,67,8
564,Art Burris,NBA,3,1952,13,2
565,Junior Burrough,NBA,3,1996,28,1
567,Ed Burton,NBA,3,1965,15,4
568,Willie Burton,NBA,0,1999,50,9
569,Steve Burtt,NBA,2,1993,57,9
570,Don Buse,NBA,2,1985,47,13
572,Donnie Butcher,NBA,2,1966,0,5
574,Caron Butler,NBA,3,2016,27,14
575,Greg Butler,NBA,1,1991,45,3
576,Jackie Butler,NBA,0,2007,37,3
577,Jimmy Butler,NBA,0,2018,39,7
579,Mitchell Butler,NBA,0,2004,20,11
580,Rasual Butler,NBA,0,2016,29,14
581,Dwight Buycks,NBA,2,2015,32,2
582,Derrick Byars,NBA,3,2012,56,1
583,Andrew Bynum,NBA,1,2014,91,9
584,Will Bynum,NBA,2,2015,93,10
586,Marty Byrnes,NBA,3,1983,48,5
589,Zarko Cabarkapa,NBA,3,2006,44,3
590,Barney Cable,NBA,3,1964,39,6
591,Bruno Caboclo,NBA,3,2018,29,4
592,Jason Caffey,NBA,3,2003,22,8
593,Michael Cage,NBA,0,2000,34,16
594,Gerry Calabrese,NBA,2,1952,9,2
595,Nick Calathes,NBA,2,2015,74,2
596,Jose Calderon,NBA,2,2018,25,13
597,Adrian Caldwell,NBA,0,1998,71,9
598,Jim Caldwell,NBA,1,1969,19,2
599,Joe Caldwell,NBA,0,1975,6,11
600,Kentavious Caldwell-Pope,NBA,2,2018,97,5
602,Corky Calhoun,NBA,3,1980,56,8
603,Demetrius Calip,NBA,2,1992,45,1
605,Rick Calloway,NBA,3,1991,17,1
607,Mack Calvin,NBA,2,1981,19,12
608,Dexter Cambridge,NBA,3,1993,2,1
609,Marcus Camby,NBA,0,2013,66,17
610,Elden Campbell,NBA,1,2005,11,15
611,Tony Campbell,NBA,0,1995,7,11
612,Isaiah Canaan,NBA,2,2018,74,5
614,Clint Capela,NBA,1,2018,80,4
615,Derrick Caracter,NBA,3,2011,95,1
617,Brian Cardinal,NBA,3,2012,53,12
618,Howie Carl,NBA,2,1962,18,1
620,Geno Carlisle,NBA,2,2005,86,1
621,Rick Carlisle,NBA,2,1990,58,6
623,Al Carlson,NBA,1,1976,59,1
625,Bob Carney,NBA,2,1955,7,1
626,Rodney Carney,NBA,3,2011,37,5
628,Antoine Carr,NBA,0,2000,45,16
629,Austin Carr,NBA,2,1981,30,10
630,Chris Carr,NBA,2,2001,61,6
631,Cory Carr,NBA,2,1999,46,1
632,Kenny Carr,NBA,3,1987,1,10
633,M.L. Carr,NBA,0,1985,27,10
635,Bob Carrington,NBA,0,1980,11,3
636,DeMarre Carroll,NBA,3,2018,43,9
637,Joe Barry Carroll,NBA,0,1991,33,11
638,Matt Carroll,NBA,2,2013,68,10
639,Jimmy Carruth,NBA,0,1997,53,1
640,Anthony Carter,NBA,2,2012,51,13
641,Butch Carter,NBA,2,1986,62,6
642,Fred Carter,NBA,0,1977,1,8
643,George Carter,NBA,0,1976,19,9
644,Howard Carter,NBA,2,1985,29,2
646,Maurice Carter,NBA,2,2004,13,1
647,Reggie Carter,NBA,2,1982,25,2
648,Ron Carter,NBA,2,1980,39,2
649,Vince Carter,NBA,0,2018,24,20
650,Michael Carter-Williams,NBA,2,2018,66,5
651,Bill Cartwright,NBA,1,1995,45,16
652,Jay Carty,NBA,3,1969,0,1
653,Alex Caruso,NBA,2,2018,30,1
654,Cornelius Cash,NBA,3,1977,26,1
655,Sam Cash,NBA,3,1973,10,1
656,Sam Cassell,NBA,2,2008,60,15
657,Omri Casspi,NBA,3,2018,44,9
658,Harvey Catchings,NBA,0,1985,27,11
659,Terry Catledge,NBA,3,1993,0,8
660,Sid Catlett,NBA,3,1972,4,1
661,Kelvin Cato,NBA,1,2007,13,10
662,Bobby Cattage,NBA,3,1986,27,5
663,Willie Cauley-Stein,NBA,0,2018,49,3
664,Duane Causwell,NBA,1,2001,24,11
665,Tyler Cavanaugh,NBA,3,2018,101,1
666,Ron Cavenall,NBA,1,1989,9,5
667,Cedric Ceballos,NBA,3,2001,15,11
668,John Celestand,NBA,2,2000,51,1
669,Al Cervi,NBA,0,1953,17,4
670,Lionel Chalmers,NBA,2,2005,62,1
